BJ_5G,Santi-2G,BJ_2G,ARI_2G,VIVOFIBRA-1EB0,Santi-5G,Unnamed: 6,class,Lais,#NET-CLARO-WIFI,CLARO_2G46D856,ANA 2.4G,Rubens_2.4,INA ,plenna_inteligenti,Unnamed: 15,Familia,Unnamed: 17,VIVOFIBRA-FF20,InÃ¡ Corp,Cozinha da InÃ¡,((TURIS)),Maria_2G,BUCKER,AMNET85_8295,CLARO_2G92213C,Unnamed: 26,VIVOFIBRA-F7E8,((Internacional)),2G Lucineia,ALEXANDRE1,andre,,CLARO_2G743AC1,INA _EXT
-62,-47.0,-47.0,-93.0,-84.0,-57.0,-100.0,s1,-94.0,-92.0,-90.0,-93.0,-100.0,-91.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-94.0,-94.0,-100.0,-46.0,-100.0,-100.0,-100.0,-91.0,-94.0,-100.0,-100.0,-100.0
-62,-47.0,-47.0,-93.0,-84.0,-57.0,-100.0,s1,-94.0,-92.0,-90.0,-100.0,-100.0,-91.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-94.0,-94.0,-100.0,-46.0,-100.0,-100.0,-100.0,-91.0,-94.0,-100.0,-100.0,-100.0
-62,-61.0,-45.0,-93.0,-84.0,-58.0,-100.0,s1,-94.0,-90.0,-90.0,-89.0,-100.0,-91.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0
-62,-64.0,-55.0,-93.0,-84.0,-60.0,-100.0,s1,-94.0,-90.0,-90.0,-89.0,-100.0,-92.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0
-59,-51.0,-45.0,-93.0,-84.0,-60.0,-100.0,s1,-91.0,-90.0,-90.0,-89.0,-100.0,-90.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-100.0,-100.0,-47.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0
-60,-51.0,-45.0,-93.0,-84.0,-60.0,-100.0,s1,-91.0,-90.0,-90.0,-89.0,-100.0,-90.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-100.0,-100.0,-47.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0
-61,-51.0,-45.0,-93.0,-84.0,-60.0,-100.0,s1,-91.0,-93.0,-100.0,-89.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-100.0,-100.0,-47.0,-100.0,-100.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0
-61,-57.0,-46.0,-94.0,-89.0,-63.0,-100.0,s1,-88.0,-91.0,-100.0,-91.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-100.0,-100.0,-46.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-61,-65.0,-48.0,-93.0,-87.0,-63.0,-100.0,s1,-88.0,-95.0,-90.0,-91.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-95.0,-100.0,-100.0,-59.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-62,-68.0,-58.0,-94.0,-88.0,-65.0,-100.0,s1,-88.0,-95.0,-90.0,-92.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-95.0,-100.0,-100.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-62,-53.0,-40.0,-92.0,-85.0,-65.0,-100.0,s1,-88.0,-91.0,-90.0,-92.0,-100.0,-95.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-95.0,-100.0,-100.0,-40.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-61,-63.0,-53.0,-92.0,-91.0,-69.0,-100.0,s1,-88.0,-91.0,-90.0,-92.0,-100.0,-94.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-95.0,-100.0,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
